columns,Feature Importances
AssetStatusDescription_Issued,0.0
Bond Rating Rank,0.1547691301932592
BondsCount,0.022106161398228928
CASA Ratio,0.014319334414482288
CD Non Equity Ratio,0.010848438425132313
Cash and Equivalents,0.019922601841657325
CommonName_Aib Group PLC,3.443704103763909e-05
CommonName_Akbank TAS,2.6212585930516097e-05
CommonName_Australia and New Zealand Banking Group Ltd,0.0001173715055104101
CommonName_BNP Paribas SA,8.6519371580401e-05
CommonName_Banc of California Inc,4.496228710236149e-05
CommonName_Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,6.068002574504216e-05
CommonName_Banco Santander-Chile,2.7295162492944866e-05
CommonName_Banco de Bogota SA,0.0001380460914105141
CommonName_Banco de Chile,0.00015962547577537612
CommonName_Banco de Credito e Inversiones,0.000460940512929887
CommonName_Bancolombia SA,3.448938446636186e-06
CommonName_Bank of America Corp,0.000677823314852765
CommonName_Bank of Ireland Group PLC,3.921551840948836e-05
CommonName_Bank of Montreal,0.00013363191512237035
CommonName_Bank of Nova Scotia,0.0003150048178169762
CommonName_BankUnited Inc,0.0001653430741629394
CommonName_Banque Federative du Credit Mutuel SA,7.768920661066316e-05
CommonName_Barclays PLC,0.0006151457794482119
CommonName_Bpce SA,0.000419414308742741
CommonName_Canadian Imperial Bank of Commerce,0.0001018475859514481
CommonName_Citizens Financial Group Inc,5.7922863029377115e-05
CommonName_Commonwealth Bank of Australia,0.0002678622471224824
CommonName_Cooperatieve Rabobank UA,0.0010659374704419407
CommonName_First-Citizens Bank & Trust Co,4.548123897298302e-05
CommonName_HSBC Bank PLC,8.87166331962847e-05
CommonName_HSBC Holdings PLC,0.00028491852004618976
CommonName_HSBC USA Inc,0.00024125190885553545
CommonName_Hilltop Holdings Inc,8.892848772469979e-05
CommonName_Huntington Bancshares Inc,0.00029939918327211206
CommonName_ING Groep NV,0.000686407905073739
CommonName_Intesa Sanpaolo SpA,0.0001004764642810189
CommonName_JPMorgan Chase & Co,0.0004880458336319469
CommonName_Lloyds Banking Group PLC,0.0005414528959726258
CommonName_MUFG Bank Ltd,0.0007860508458793729
CommonName_Macquarie Bank Ltd,0.0016033441650913744
CommonName_Mediobanca Banca di Credito Finanziario SpA,7.934028228809108e-05
CommonName_Mitsubishi UFJ Financial Group Inc,0.0014608606243730648
CommonName_Mizuho Bank Ltd,0.0003614968755652264
CommonName_Mizuho Financial Group Inc,9.085958167190367e-05
CommonName_National Australia Bank Ltd,0.0004766481715479457
CommonName_National Bank of Canada,0.0002793951743672936
CommonName_Natwest Group PLC,0.0002637233217232168
CommonName_NongHyup Bank,0.0004160789868215256
CommonName_Nordea Bank Abp,6.614386053159055e-05
CommonName_Old National Bancorp,0.000883982235927702
CommonName_PNC Financial Services Group Inc,7.734231199201811e-05
CommonName_Regions Financial Corp,7.077692207596443e-06
CommonName_Royal Bank of Canada,6.647757738148245e-05
CommonName_Santander Holdings USA Inc,0.0006621957565168229
CommonName_Societe Generale SA,0.00014605480691517813
CommonName_Standard Chartered PLC,8.487688489816042e-05
CommonName_Sumitomo Mitsui Financial Group Inc,0.00088669345803594
CommonName_Suncorp-Metway Ltd,0.00017307618982399995
CommonName_Toronto-Dominion Bank,0.00025343865801087645
CommonName_Truist Financial Corp,9.389184149259194e-05
CommonName_Turkiye Cumhuriyeti Ziraat Bankasi AS,3.5743799589198204e-05
CommonName_Turkiye Garanti Bankasi AS,9.538882076467602e-05
CommonName_Turkiye Is Bankasi AS,0.0
