Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
2010-12-31,,,,,,,,,,,0.09677083558651121,,,,0.14470877225238477,1.5932287311811884,1.5932287311811884,49.97295,55354658.62447008,,12762247.574432101,5356716.568696049,8010304.687996947,1313529.6736848801,,0.023729342865177045,0.16397998888271262,0.8224439733668832
2011-12-31,,,,,,,,,,,0.13526623603010016,,,,0.12568933841531488,1.3396829156550656,1.3396829156550656,27.45015,95518919.99087021,,16083844.389482783,12920484.776825303,12005709.859797873,1871943.4851098382,,0.019597619877703393,0.15592109979087518,
2012-12-31,,,,,,,,,,,0.14667698885629665,,,,0.1188289523214273,1.2528181624743886,1.2528181624743886,24.71002,131705624.17448373,,19607157.155846246,19318184.36935235,15650441.335493552,3076027.943140872,,0.0233553271731642,0.1965457636114558,5.070983076817302
2013-12-31,,,,,,,,,,,0.08065032138544959,,,,0.15479456858688162,1.3746131911775314,1.3746131911775314,18.12635,190988711.24049136,,40639085.22508297,15403300.942538455,29564015.16143637,3510553.5121624502,,0.018380947697699216,0.11874413854115645,
2014-12-31,,,,,,,,,,,0.1000954522192641,,,,0.14191809126228852,1.687958492307346,1.687958492307346,14.25356,234258560.11255085,,56117070.83444026,23448216.51069944,33245527.71302529,3021436.295401056,,0.012897869319906132,0.09088248866079167,7.1575256413185
2015-12-31,,,,,,,,,,,0.12135501772246193,,,,0.1244611771079598,2.66096341701878,2.66096341701878,11.85592,282891074.8829778,,93689744.3284928,34330251.40595008,35208956.17327142,3025701.852523975,,0.01069564267368846,0.08593557382484718,5.618218335905161
2016-12-31,11.7,12.7,,,,,,,,,0.11899627688439218,,,,0.11039123746834849,2.682081298156873,2.682081298156873,13.87527,356894225.4085019,,105668626.07901758,42469084.065150775,39397995.18815223,4158244.685826751,,0.011651196320330527,0.10554457570666487,2.0758260207982033
2017-12-31,12.74,13.37,,,,,,,,,0.1423583763375922,,,,0.1111706501977411,3.0570456154333376,3.0570456154333376,16.43222,415543203.73273665,,141223915.55693585,59156055.781513676,46196208.14422073,6658272.74870256,,0.016023057744399872,0.144130287228683,
2018-12-31,12.7,13.07,,,,,,,,,0.1545460834769702,,,,0.11184155957257814,2.32978220182503,2.32978220182503,20.51692,505692460.8148711,,131766501.9064047,78152789.26276955,56557433.48163004,10426368.62645319,,0.020618002905663603,0.18435010191612908,6.099320768821945
2019-12-31,12.7,13.07,,,,,,,,,0.09942655319983583,,,,0.11008836244005185,3.2137063129072527,3.209607029087017,18.84301,668442884.5642958,,236489521.32217303,66460972.02318368,73587782.54638794,12957527.772892758,,0.019384644630242014,0.17608259584020827,0.8099121926663526
2020-12-31,14.18,14.7,,,,,,,,,0.10871809462259023,,,,0.11334446266883601,2.0754585011283306,2.072053145818528,24.18181,794335789.1467763,,186860924.12920895,86358673.4865691,90033563.19946718,18164164.081763994,,0.02286711026992093,0.2017488082918781,
2021-12-31,13.8,14.41,,,,,,,,,0.23700370935906714,,,,0.08638130279198268,3.7710736358708212,3.7680815693450795,24.75829,1295261190.5394433,,421931661.2848307,306981706.7466895,111886349.09469163,28493023.569073964,,0.021997898012529306,0.2546604103147539,2.7073755788106464
